Data,Tempo,Velocidade,Direção
2021-07-01,00:00:00,,160
2021-07-01,01:00:00,,149
2021-07-01,02:00:00,,244
2021-07-01,03:00:00,,237
2021-07-01,04:00:00,,248
2021-07-01,05:00:00,,258
2021-07-01,06:00:00,,253
2021-07-01,07:00:00,,235
2021-07-01,08:00:00,,239
2021-07-01,09:00:00,,259
2021-07-01,10:00:00,,257
2021-07-01,11:00:00,,300
2021-07-01,12:00:00,1,268
2021-07-01,13:00:00,1,252
2021-07-01,14:00:00,1,293
2021-07-01,15:00:00,1,255
2021-07-01,16:00:00,1,213
2021-07-01,17:00:00,1,142
2021-07-01,18:00:00,1,281
2021-07-01,19:00:00,1,246
2021-07-01,20:00:00,1,322
2021-07-01,21:00:00,,296
2021-07-01,22:00:00,,296
2021-07-01,23:00:00,,46
2021-07-02,00:00:00,,20
2021-07-02,01:00:00,,322
2021-07-02,02:00:00,,130
2021-07-02,03:00:00,,26
2021-07-02,04:00:00,,285
2021-07-02,05:00:00,,218
2021-07-02,06:00:00,,144
2021-07-02,07:00:00,,316
2021-07-02,08:00:00,,121
2021-07-02,09:00:00,,83
2021-07-02,10:00:00,,332
2021-07-02,11:00:00,,298
2021-07-02,12:00:00,,325
2021-07-02,13:00:00,1,5
2021-07-02,14:00:00,1,2
2021-07-02,15:00:00,1,292
2021-07-02,16:00:00,,272
2021-07-02,17:00:00,2,36
2021-07-02,18:00:00,2,8
2021-07-02,19:00:00,2,352
2021-07-02,20:00:00,2,11
2021-07-02,21:00:00,1,8
2021-07-02,22:00:00,,310
2021-07-02,23:00:00,,285
2021-07-03,00:00:00,,231
2021-07-03,01:00:00,1,166
2021-07-03,02:00:00,1,77
2021-07-03,03:00:00,,306
2021-07-03,04:00:00,,107
2021-07-03,05:00:00,,347
2021-07-03,06:00:00,,178
2021-07-03,07:00:00,,132
2021-07-03,08:00:00,,273
2021-07-03,09:00:00,,309
2021-07-03,10:00:00,,316
2021-07-03,11:00:00,,345
2021-07-03,12:00:00,,302
2021-07-03,13:00:00,,257
2021-07-03,14:00:00,,316
2021-07-03,15:00:00,1,248
2021-07-03,16:00:00,1,157
2021-07-03,17:00:00,2,169
2021-07-03,18:00:00,1,230
2021-07-03,19:00:00,1,223
2021-07-03,20:00:00,1,197
2021-07-03,21:00:00,2,180
2021-07-03,22:00:00,,224
2021-07-03,23:00:00,,269
2021-07-04,00:00:00,,243
2021-07-04,01:00:00,,222
2021-07-04,02:00:00,,69
2021-07-04,03:00:00,,99
2021-07-04,04:00:00,1,288
2021-07-04,05:00:00,,286
2021-07-04,06:00:00,,108
2021-07-04,07:00:00,,101
2021-07-04,08:00:00,,107
2021-07-04,09:00:00,,297
2021-07-04,10:00:00,,86
2021-07-04,11:00:00,,51
2021-07-04,12:00:00,,284
2021-07-04,13:00:00,,172
2021-07-04,14:00:00,,257
2021-07-04,15:00:00,1,166
2021-07-04,16:00:00,2,207
2021-07-04,17:00:00,1,131
2021-07-04,18:00:00,1,140
2021-07-04,19:00:00,1,170
2021-07-04,20:00:00,2,184
2021-07-04,21:00:00,,165
2021-07-04,22:00:00,,217
2021-07-04,23:00:00,,31
2021-07-05,00:00:00,,170
2021-07-05,01:00:00,,326
2021-07-05,02:00:00,,139
2021-07-05,03:00:00,,89
2021-07-05,04:00:00,,298
2021-07-05,05:00:00,,326
2021-07-05,06:00:00,,200
2021-07-05,07:00:00,1,286
2021-07-05,08:00:00,,353
2021-07-05,09:00:00,,123
2021-07-05,10:00:00,,331
2021-07-05,11:00:00,,93
2021-07-05,12:00:00,,233
2021-07-05,13:00:00,,304
2021-07-05,14:00:00,1,359
2021-07-05,15:00:00,1,3
2021-07-05,16:00:00,1,84
2021-07-05,17:00:00,1,208
2021-07-05,18:00:00,1,268
2021-07-05,19:00:00,1,275
2021-07-05,20:00:00,1,322
2021-07-05,21:00:00,,175
2021-07-05,22:00:00,,155
2021-07-05,23:00:00,,230
2021-07-06,00:00:00,,214
2021-07-06,01:00:00,,150
2021-07-06,02:00:00,,171
2021-07-06,03:00:00,,90
2021-07-06,04:00:00,,322
2021-07-06,05:00:00,,326
2021-07-06,06:00:00,,190
2021-07-06,07:00:00,,356
2021-07-06,08:00:00,,324
2021-07-06,09:00:00,,288
2021-07-06,10:00:00,,329
2021-07-06,11:00:00,,241
2021-07-06,12:00:00,,200
2021-07-06,13:00:00,,154
2021-07-06,14:00:00,,201
2021-07-06,15:00:00,1,146
2021-07-06,16:00:00,1,210
2021-07-06,17:00:00,1,251
2021-07-06,18:00:00,1,284
2021-07-06,19:00:00,1,189
2021-07-06,20:00:00,,259
2021-07-06,21:00:00,,226
2021-07-06,22:00:00,,164
2021-07-06,23:00:00,,51
2021-07-07,00:00:00,1,69
2021-07-07,01:00:00,,95
2021-07-07,02:00:00,,91
2021-07-07,03:00:00,,98
2021-07-07,04:00:00,,173
2021-07-07,05:00:00,,320
2021-07-07,06:00:00,,311
2021-07-07,07:00:00,,156
2021-07-07,08:00:00,,267
2021-07-07,09:00:00,,210
2021-07-07,10:00:00,,287
2021-07-07,11:00:00,,269
2021-07-07,12:00:00,1,291
2021-07-07,13:00:00,1,302
2021-07-07,14:00:00,,309
2021-07-07,15:00:00,,300
2021-07-07,16:00:00,1,32
2021-07-07,17:00:00,1,325
2021-07-07,18:00:00,1,359
2021-07-07,19:00:00,1,97
2021-07-07,20:00:00,1,232
2021-07-07,21:00:00,,216
2021-07-07,22:00:00,,187
2021-07-07,23:00:00,,7
2021-07-08,00:00:00,,332
2021-07-08,01:00:00,,89
2021-07-08,02:00:00,,319
2021-07-08,03:00:00,,359
2021-07-08,04:00:00,,75
2021-07-08,05:00:00,,152
2021-07-08,06:00:00,,158
2021-07-08,07:00:00,,94
2021-07-08,08:00:00,,180
2021-07-08,09:00:00,,169
2021-07-08,10:00:00,,268
2021-07-08,11:00:00,1,309
2021-07-08,12:00:00,1,298
2021-07-08,13:00:00,1,294
2021-07-08,14:00:00,1,290
2021-07-08,15:00:00,,119
2021-07-08,16:00:00,1,183
2021-07-08,17:00:00,1,154
2021-07-08,18:00:00,2,248
2021-07-08,19:00:00,1,136
2021-07-08,20:00:00,1,188
2021-07-08,21:00:00,,164
2021-07-08,22:00:00,,141
2021-07-08,23:00:00,,118
2021-07-09,00:00:00,,78
2021-07-09,01:00:00,,96
2021-07-09,02:00:00,,69
2021-07-09,03:00:00,,101
2021-07-09,04:00:00,,280
2021-07-09,05:00:00,,317
2021-07-09,06:00:00,,219
2021-07-09,07:00:00,,320
2021-07-09,08:00:00,,214
2021-07-09,09:00:00,,101
2021-07-09,10:00:00,,276
2021-07-09,11:00:00,,289
2021-07-09,12:00:00,1,292
2021-07-09,13:00:00,1,3
2021-07-09,14:00:00,,163
2021-07-09,15:00:00,1,35
2021-07-09,16:00:00,1,85
2021-07-09,17:00:00,1,293
2021-07-09,18:00:00,2,307
2021-07-09,19:00:00,1,300
2021-07-09,20:00:00,1,224
2021-07-09,21:00:00,,195
2021-07-09,22:00:00,,170
2021-07-09,23:00:00,1,70
2021-07-10,00:00:00,,146
2021-07-10,01:00:00,,297
2021-07-10,02:00:00,,355
2021-07-10,03:00:00,,218
2021-07-10,04:00:00,,96
2021-07-10,05:00:00,,330
2021-07-10,06:00:00,,326
2021-07-10,07:00:00,,103
2021-07-10,08:00:00,,142
2021-07-10,09:00:00,,184
2021-07-10,10:00:00,,292
2021-07-10,11:00:00,,339
2021-07-10,12:00:00,,286
2021-07-10,13:00:00,,6
2021-07-10,14:00:00,1,232
2021-07-10,15:00:00,4,4
2021-07-10,16:00:00,2,343
2021-07-10,17:00:00,2,59
2021-07-10,18:00:00,2,67
2021-07-10,19:00:00,2,25
2021-07-10,20:00:00,1,325
2021-07-10,21:00:00,,360
2021-07-10,22:00:00,,355
2021-07-10,23:00:00,,292
2021-07-11,00:00:00,,44
2021-07-11,01:00:00,,118
2021-07-11,02:00:00,,67
2021-07-11,03:00:00,,66
2021-07-11,04:00:00,,19
2021-07-11,05:00:00,,139
2021-07-11,06:00:00,,142
2021-07-11,07:00:00,1,304
2021-07-11,08:00:00,1,301
2021-07-11,09:00:00,,299
2021-07-11,10:00:00,1,321
2021-07-11,11:00:00,1,301
2021-07-11,12:00:00,1,317
2021-07-11,13:00:00,1,335
2021-07-11,14:00:00,1,334
2021-07-11,15:00:00,,162
2021-07-11,16:00:00,1,18
2021-07-11,17:00:00,1,80
2021-07-11,18:00:00,1,142
2021-07-11,19:00:00,1,20
2021-07-11,20:00:00,2,354
2021-07-11,21:00:00,1,356
2021-07-11,22:00:00,,349
2021-07-11,23:00:00,,118
2021-07-12,00:00:00,,38
2021-07-12,01:00:00,,119
2021-07-12,02:00:00,,20
2021-07-12,03:00:00,,72
2021-07-12,04:00:00,,159
2021-07-12,05:00:00,,59
2021-07-12,06:00:00,,167
2021-07-12,07:00:00,,151
2021-07-12,08:00:00,,242
2021-07-12,09:00:00,,302
2021-07-12,10:00:00,,342
2021-07-12,11:00:00,,170
2021-07-12,12:00:00,,306
2021-07-12,13:00:00,,105
2021-07-12,14:00:00,1,27
2021-07-12,15:00:00,1,50
2021-07-12,16:00:00,2,39
2021-07-12,17:00:00,2,57
2021-07-12,18:00:00,1,13
2021-07-12,19:00:00,2,71
2021-07-12,20:00:00,2,50
2021-07-12,21:00:00,1,56
2021-07-12,22:00:00,,77
2021-07-12,23:00:00,,166
2021-07-13,00:00:00,,334
2021-07-13,01:00:00,,98
2021-07-13,02:00:00,,260
2021-07-13,03:00:00,,291
2021-07-13,04:00:00,,319
2021-07-13,05:00:00,,159
2021-07-13,06:00:00,,152
2021-07-13,07:00:00,,157
2021-07-13,08:00:00,,90
2021-07-13,09:00:00,,34
2021-07-13,10:00:00,,327
2021-07-13,11:00:00,,281
2021-07-13,12:00:00,,291
2021-07-13,13:00:00,1,346
2021-07-13,14:00:00,1,356
2021-07-13,15:00:00,2,12
2021-07-13,16:00:00,2,51
2021-07-13,17:00:00,2,50
2021-07-13,18:00:00,2,19
2021-07-13,19:00:00,1,340
2021-07-13,20:00:00,2,347
2021-07-13,21:00:00,1,19
2021-07-13,22:00:00,,20
2021-07-13,23:00:00,,29
2021-07-14,00:00:00,,323
2021-07-14,01:00:00,,303
2021-07-14,02:00:00,,120
2021-07-14,03:00:00,,85
2021-07-14,04:00:00,,97
2021-07-14,05:00:00,,14
2021-07-14,06:00:00,,156
2021-07-14,07:00:00,,321
2021-07-14,08:00:00,,330
2021-07-14,09:00:00,,293
2021-07-14,10:00:00,,99
2021-07-14,11:00:00,,330
2021-07-14,12:00:00,,294
2021-07-14,13:00:00,1,347
2021-07-14,14:00:00,2,44
2021-07-14,15:00:00,3,42
2021-07-14,16:00:00,2,72
2021-07-14,17:00:00,1,275
2021-07-14,18:00:00,1,53
2021-07-14,19:00:00,3,355
2021-07-14,20:00:00,2,13
2021-07-14,21:00:00,1,9
2021-07-14,22:00:00,1,16
2021-07-14,23:00:00,1,37
2021-07-15,00:00:00,1,41
2021-07-15,01:00:00,1,3
2021-07-15,02:00:00,,53
2021-07-15,03:00:00,,181
2021-07-15,04:00:00,,145
2021-07-15,05:00:00,,29
2021-07-15,06:00:00,,144
2021-07-15,07:00:00,1,79
2021-07-15,08:00:00,1,76
2021-07-15,09:00:00,1,47
2021-07-15,10:00:00,,239
2021-07-15,11:00:00,,274
2021-07-15,12:00:00,1,333
2021-07-15,13:00:00,1,27
2021-07-15,14:00:00,3,52
2021-07-15,15:00:00,2,44
2021-07-15,16:00:00,2,32
2021-07-15,17:00:00,2,332
2021-07-15,18:00:00,2,337
2021-07-15,19:00:00,1,165
2021-07-15,20:00:00,1,97
2021-07-15,21:00:00,1,85
2021-07-15,22:00:00,,104
2021-07-15,23:00:00,1,96
2021-07-16,00:00:00,1,24
2021-07-16,01:00:00,,59
2021-07-16,02:00:00,,115
2021-07-16,03:00:00,1,310
2021-07-16,04:00:00,,42
2021-07-16,05:00:00,1,71
2021-07-16,06:00:00,,37
2021-07-16,07:00:00,,236
2021-07-16,08:00:00,,222
2021-07-16,09:00:00,,258
2021-07-16,10:00:00,,248
2021-07-16,11:00:00,1,253
2021-07-16,12:00:00,1,249
2021-07-16,13:00:00,1,192
2021-07-16,14:00:00,1,223
2021-07-16,15:00:00,1,350
2021-07-16,16:00:00,1,228
2021-07-16,17:00:00,1,336
2021-07-16,18:00:00,1,315
2021-07-16,19:00:00,1,276
2021-07-16,20:00:00,1,243
2021-07-16,21:00:00,1,287
2021-07-16,22:00:00,,278
2021-07-16,23:00:00,,199
2021-07-17,00:00:00,1,175
2021-07-17,01:00:00,1,100
2021-07-17,02:00:00,,143
2021-07-17,03:00:00,,227
2021-07-17,04:00:00,,147
2021-07-17,05:00:00,,241
2021-07-17,06:00:00,,259
2021-07-17,07:00:00,1,257
2021-07-17,08:00:00,1,250
2021-07-17,09:00:00,,273
2021-07-17,10:00:00,,189
2021-07-17,11:00:00,,346
2021-07-17,12:00:00,,230
2021-07-17,13:00:00,,326
2021-07-17,14:00:00,1,314
2021-07-17,15:00:00,1,295
2021-07-17,16:00:00,1,156
2021-07-17,17:00:00,1,317
2021-07-17,18:00:00,1,281
2021-07-17,19:00:00,1,304
2021-07-17,20:00:00,,181
2021-07-17,21:00:00,,227
2021-07-17,22:00:00,,222
2021-07-17,23:00:00,,153
2021-07-18,00:00:00,,132
2021-07-18,01:00:00,,360
2021-07-18,02:00:00,,87
2021-07-18,03:00:00,,193
2021-07-18,04:00:00,,222
2021-07-18,05:00:00,,238
2021-07-18,06:00:00,1,255
2021-07-18,07:00:00,1,241
2021-07-18,08:00:00,1,239
2021-07-18,09:00:00,1,249
2021-07-18,10:00:00,1,241
2021-07-18,11:00:00,1,237
2021-07-18,12:00:00,2,230
2021-07-18,13:00:00,2,222
2021-07-18,14:00:00,2,224
2021-07-18,15:00:00,2,205
2021-07-18,16:00:00,2,249
2021-07-18,17:00:00,2,231
2021-07-18,18:00:00,3,234
2021-07-18,19:00:00,3,225
2021-07-18,20:00:00,3,241
2021-07-18,21:00:00,2,220
2021-07-18,22:00:00,3,215
2021-07-18,23:00:00,3,220
2021-07-19,00:00:00,2,227
2021-07-19,01:00:00,2,204
2021-07-19,02:00:00,2,203
2021-07-19,03:00:00,2,192
2021-07-19,04:00:00,2,184
2021-07-19,05:00:00,1,205
2021-07-19,06:00:00,1,217
2021-07-19,07:00:00,1,213
2021-07-19,08:00:00,1,204
2021-07-19,09:00:00,1,233
2021-07-19,10:00:00,1,253
2021-07-19,11:00:00,1,222
2021-07-19,12:00:00,2,201
2021-07-19,13:00:00,2,207
2021-07-19,14:00:00,2,190
2021-07-19,15:00:00,3,185
2021-07-19,16:00:00,2,197
2021-07-19,17:00:00,2,229
2021-07-19,18:00:00,2,220
2021-07-19,19:00:00,2,217
2021-07-19,20:00:00,2,206
2021-07-19,21:00:00,2,192
2021-07-19,22:00:00,2,194
2021-07-19,23:00:00,1,172
2021-07-20,00:00:00,1,193
2021-07-20,01:00:00,1,188
2021-07-20,02:00:00,1,225
2021-07-20,03:00:00,2,184
2021-07-20,04:00:00,1,208
2021-07-20,05:00:00,1,224
2021-07-20,06:00:00,,236
2021-07-20,07:00:00,1,241
2021-07-20,08:00:00,,252
2021-07-20,09:00:00,,267
2021-07-20,10:00:00,,245
2021-07-20,11:00:00,,247
2021-07-20,12:00:00,1,238
2021-07-20,13:00:00,1,186
2021-07-20,14:00:00,1,275
2021-07-20,15:00:00,1,253
2021-07-20,16:00:00,1,179
2021-07-20,17:00:00,,160
2021-07-20,18:00:00,1,239
2021-07-20,19:00:00,1,240
2021-07-20,20:00:00,1,214
2021-07-20,21:00:00,1,233
2021-07-20,22:00:00,,241
2021-07-20,23:00:00,,172
2021-07-21,00:00:00,,221
2021-07-21,01:00:00,,240
2021-07-21,02:00:00,,207
2021-07-21,03:00:00,,216
2021-07-21,04:00:00,,248
2021-07-21,05:00:00,1,295
2021-07-21,06:00:00,1,256
2021-07-21,07:00:00,1,251
2021-07-21,08:00:00,,265
2021-07-21,09:00:00,1,252
2021-07-21,10:00:00,,231
2021-07-21,11:00:00,,223
2021-07-21,12:00:00,,267
2021-07-21,13:00:00,,165
2021-07-21,14:00:00,1,240
2021-07-21,15:00:00,,38
2021-07-21,16:00:00,1,229
2021-07-21,17:00:00,1,240
2021-07-21,18:00:00,2,217
2021-07-21,19:00:00,1,185
2021-07-21,20:00:00,1,207
2021-07-21,21:00:00,1,218
2021-07-21,22:00:00,,215
2021-07-21,23:00:00,,147
2021-07-22,00:00:00,,204
2021-07-22,01:00:00,,235
2021-07-22,02:00:00,,99
2021-07-22,03:00:00,1,241
2021-07-22,04:00:00,,291
2021-07-22,05:00:00,,263
2021-07-22,06:00:00,,286
2021-07-22,07:00:00,,291
2021-07-22,08:00:00,,84
2021-07-22,09:00:00,,282
2021-07-22,10:00:00,,347
2021-07-22,11:00:00,,353
2021-07-22,12:00:00,,346
2021-07-22,13:00:00,1,269
2021-07-22,14:00:00,1,242
2021-07-22,15:00:00,1,100
2021-07-22,16:00:00,1,187
2021-07-22,17:00:00,1,189
2021-07-22,18:00:00,1,226
2021-07-22,19:00:00,1,296
2021-07-22,20:00:00,1,254
2021-07-22,21:00:00,,244
2021-07-22,22:00:00,,147
2021-07-22,23:00:00,1,188
2021-07-23,00:00:00,,246
2021-07-23,01:00:00,,87
2021-07-23,02:00:00,,335
2021-07-23,03:00:00,,340
2021-07-23,04:00:00,,317
2021-07-23,05:00:00,,93
2021-07-23,06:00:00,,211
2021-07-23,07:00:00,1,243
2021-07-23,08:00:00,,313
2021-07-23,09:00:00,,345
2021-07-23,10:00:00,,221
2021-07-23,11:00:00,,265
2021-07-23,12:00:00,,345
2021-07-23,13:00:00,1,3
2021-07-23,14:00:00,1,174
2021-07-23,15:00:00,1,285
2021-07-23,16:00:00,1,147
2021-07-23,17:00:00,1,3
2021-07-23,18:00:00,1,88
2021-07-23,19:00:00,2,4
2021-07-23,20:00:00,1,105
2021-07-23,21:00:00,1,32
2021-07-23,22:00:00,2,34
2021-07-23,23:00:00,1,32
2021-07-24,00:00:00,1,58
2021-07-24,01:00:00,1,54
2021-07-24,02:00:00,1,83
2021-07-24,03:00:00,,19
2021-07-24,04:00:00,,60
2021-07-24,05:00:00,,39
2021-07-24,06:00:00,1,86
2021-07-24,07:00:00,,219
2021-07-24,08:00:00,,85
2021-07-24,09:00:00,,247
2021-07-24,10:00:00,,216
2021-07-24,11:00:00,,197
2021-07-24,12:00:00,1,46
2021-07-24,13:00:00,2,38
2021-07-24,14:00:00,3,34
2021-07-24,15:00:00,3,32
2021-07-24,16:00:00,2,45
2021-07-24,17:00:00,2,7
2021-07-24,18:00:00,2,30
2021-07-24,19:00:00,2,43
2021-07-24,20:00:00,1,32
2021-07-24,21:00:00,1,45
2021-07-24,22:00:00,1,93
2021-07-24,23:00:00,,73
2021-07-25,00:00:00,1,88
2021-07-25,01:00:00,1,66
2021-07-25,02:00:00,,99
2021-07-25,03:00:00,2,111
2021-07-25,04:00:00,1,34
2021-07-25,05:00:00,,55
2021-07-25,06:00:00,,158
2021-07-25,07:00:00,,130
2021-07-25,08:00:00,,320
2021-07-25,09:00:00,,126
2021-07-25,10:00:00,,332
2021-07-25,11:00:00,,309
2021-07-25,12:00:00,1,294
2021-07-25,13:00:00,3,22
2021-07-25,14:00:00,3,36
2021-07-25,15:00:00,3,46
2021-07-25,16:00:00,2,36
2021-07-25,17:00:00,3,326
2021-07-25,18:00:00,2,42
2021-07-25,19:00:00,1,11
2021-07-25,20:00:00,2,351
2021-07-25,21:00:00,1,63
2021-07-25,22:00:00,1,85
2021-07-25,23:00:00,1,72
2021-07-26,00:00:00,1,57
2021-07-26,01:00:00,,339
2021-07-26,02:00:00,1,90
2021-07-26,03:00:00,1,92
2021-07-26,04:00:00,1,54
2021-07-26,05:00:00,1,31
2021-07-26,06:00:00,,124
2021-07-26,07:00:00,,137
2021-07-26,08:00:00,,322
2021-07-26,09:00:00,,215
2021-07-26,10:00:00,,257
2021-07-26,11:00:00,1,304
2021-07-26,12:00:00,1,344
2021-07-26,13:00:00,1,12
2021-07-26,14:00:00,3,34
2021-07-26,15:00:00,3,22
2021-07-26,16:00:00,2,12
2021-07-26,17:00:00,2,47
2021-07-26,18:00:00,2,331
2021-07-26,19:00:00,1,295
2021-07-26,20:00:00,1,360
2021-07-26,21:00:00,1,305
2021-07-26,22:00:00,1,309
2021-07-26,23:00:00,,340
2021-07-27,00:00:00,1,50
2021-07-27,01:00:00,,76
2021-07-27,02:00:00,,128
2021-07-27,03:00:00,,158
2021-07-27,04:00:00,1,92
2021-07-27,05:00:00,,173
2021-07-27,06:00:00,,264
2021-07-27,07:00:00,,294
2021-07-27,08:00:00,,302
2021-07-27,09:00:00,,325
2021-07-27,10:00:00,1,332
2021-07-27,11:00:00,,277
2021-07-27,12:00:00,1,319
2021-07-27,13:00:00,1,333
2021-07-27,14:00:00,3,337
2021-07-27,15:00:00,2,296
2021-07-27,16:00:00,3,327
2021-07-27,17:00:00,2,344
2021-07-27,18:00:00,1,294
2021-07-27,19:00:00,2,247
2021-07-27,20:00:00,3,211
2021-07-27,21:00:00,3,230
2021-07-27,22:00:00,3,232
2021-07-27,23:00:00,3,218
2021-07-28,00:00:00,3,216
2021-07-28,01:00:00,3,223
2021-07-28,02:00:00,3,205
2021-07-28,03:00:00,2,233
2021-07-28,04:00:00,2,227
2021-07-28,05:00:00,2,231
2021-07-28,06:00:00,2,228
2021-07-28,07:00:00,2,216
2021-07-28,08:00:00,2,224
2021-07-28,09:00:00,2,220
2021-07-28,10:00:00,2,240
2021-07-28,11:00:00,2,230
2021-07-28,12:00:00,2,216
2021-07-28,13:00:00,2,217
2021-07-28,14:00:00,2,194
2021-07-28,15:00:00,2,200
2021-07-28,16:00:00,3,215
2021-07-28,17:00:00,2,238
2021-07-28,18:00:00,3,204
2021-07-28,19:00:00,2,222
2021-07-28,20:00:00,3,212
2021-07-28,21:00:00,3,208
2021-07-28,22:00:00,2,206
2021-07-28,23:00:00,3,213
2021-07-29,00:00:00,3,202
2021-07-29,01:00:00,3,211
2021-07-29,02:00:00,2,207
2021-07-29,03:00:00,2,202
2021-07-29,04:00:00,1,207
2021-07-29,05:00:00,2,199
2021-07-29,06:00:00,2,203
2021-07-29,07:00:00,2,209
2021-07-29,08:00:00,2,204
2021-07-29,09:00:00,2,200
2021-07-29,10:00:00,2,202
2021-07-29,11:00:00,2,200
2021-07-29,12:00:00,3,188
2021-07-29,13:00:00,4,182
2021-07-29,14:00:00,4,185
2021-07-29,15:00:00,4,183
2021-07-29,16:00:00,3,197
2021-07-29,17:00:00,2,215
2021-07-29,18:00:00,3,210
2021-07-29,19:00:00,2,198
2021-07-29,20:00:00,2,193
2021-07-29,21:00:00,2,177
2021-07-29,22:00:00,2,175
2021-07-29,23:00:00,1,170
2021-07-30,00:00:00,1,190
2021-07-30,01:00:00,2,185
2021-07-30,02:00:00,1,196
2021-07-30,03:00:00,1,194
2021-07-30,04:00:00,1,213
2021-07-30,05:00:00,1,200
2021-07-30,06:00:00,1,197
2021-07-30,07:00:00,1,211
2021-07-30,08:00:00,,234
2021-07-30,09:00:00,1,232
2021-07-30,10:00:00,,227
2021-07-30,11:00:00,1,228
2021-07-30,12:00:00,2,225
2021-07-30,13:00:00,1,248
2021-07-30,14:00:00,1,256
2021-07-30,15:00:00,2,247
2021-07-30,16:00:00,2,212
2021-07-30,17:00:00,2,194
2021-07-30,18:00:00,1,190
2021-07-30,19:00:00,1,207
2021-07-30,20:00:00,1,210
2021-07-30,21:00:00,1,213
2021-07-30,22:00:00,1,177
2021-07-30,23:00:00,1,164
2021-07-31,00:00:00,,155
2021-07-31,01:00:00,,212
2021-07-31,02:00:00,,232
2021-07-31,03:00:00,,221
2021-07-31,04:00:00,,240
2021-07-31,05:00:00,,266
2021-07-31,06:00:00,,251
2021-07-31,07:00:00,,311
2021-07-31,08:00:00,,300
2021-07-31,09:00:00,,279
2021-07-31,10:00:00,,70
2021-07-31,11:00:00,,162
2021-07-31,12:00:00,,176
2021-07-31,13:00:00,1,285
2021-07-31,14:00:00,1,298
2021-07-31,15:00:00,1,40
2021-07-31,16:00:00,1,291
2021-07-31,17:00:00,1,333
2021-07-31,18:00:00,1,320
2021-07-31,19:00:00,1,245
2021-07-31,20:00:00,1,226
2021-07-31,21:00:00,1,207
2021-07-31,22:00:00,,205
2021-07-31,23:00:00,,166
